timestamp,source_ip,source_port,destination_ip,destination_port,ja3_digest,ja3s_digest,fp_num
53711.70024400001,37.228.108.132,443,192.168.0.138,1034,,5cd6efb8d804faf03e1462073b729151,0
53720.949356,37.228.108.132,443,192.168.100.89,1034,,5cd6efb8d804faf03e1462073b729151,0
53722.347663,37.228.108.132,443,192.168.108.185,1034,,5cd6efb8d804faf03e1462073b729151,0
53718.581826,37.228.108.132,443,192.168.113.184,1034,,5cd6efb8d804faf03e1462073b729151,0
53717.936969,37.228.108.132,443,192.168.116.200,1033,,5cd6efb8d804faf03e1462073b729151,0
53706.535984,37.228.108.132,443,192.168.121.16,1033,,5cd6efb8d804faf03e1462073b729151,0
53720.290893,37.228.108.132,443,192.168.138.118,1034,,5cd6efb8d804faf03e1462073b729151,0
53713.822235,37.228.108.132,443,192.168.147.142,1033,,5cd6efb8d804faf03e1462073b729151,0
53717.271085,37.228.108.132,443,192.168.15.243,1034,,5cd6efb8d804faf03e1462073b729151,0
53717.447982000005,37.228.108.132,443,192.168.158.58,1034,,5cd6efb8d804faf03e1462073b729151,0
53715.17398200001,37.228.108.132,443,192.168.162.133,1034,,5cd6efb8d804faf03e1462073b729151,0
53715.397495000005,37.228.108.132,443,192.168.162.158,1034,,5cd6efb8d804faf03e1462073b729151,0
53709.330187,37.228.108.132,443,192.168.164.242,1034,,5cd6efb8d804faf03e1462073b729151,0
53718.011979999996,37.228.108.132,443,192.168.169.201,1033,,5cd6efb8d804faf03e1462073b729151,0
53711.12295599999,37.228.108.132,443,192.168.171.145,1034,,5cd6efb8d804faf03e1462073b729151,0
53816.661657000004,37.228.108.132,443,192.168.172.218,1034,,5cd6efb8d804faf03e1462073b729151,0
53790.260386,37.228.108.132,443,192.168.177.250,1034,,5cd6efb8d804faf03e1462073b729151,0
53711.18298,37.228.108.132,443,192.168.185.188,1034,,5cd6efb8d804faf03e1462073b729151,0
53719.47979299999,37.228.108.132,443,192.168.196.214,1033,,5cd6efb8d804faf03e1462073b729151,0
53709.296932000005,37.228.108.132,443,192.168.199.97,1033,,5cd6efb8d804faf03e1462073b729151,0
53712.625899,37.228.108.132,443,192.168.200.94,1034,,5cd6efb8d804faf03e1462073b729151,0
53707.390913,37.228.108.132,443,192.168.209.0,1033,,5cd6efb8d804faf03e1462073b729151,0
53722.007912,37.228.108.132,443,192.168.228.83,1033,,5cd6efb8d804faf03e1462073b729151,0
53717.190334000006,37.228.108.132,443,192.168.229.192,1034,,5cd6efb8d804faf03e1462073b729151,0
53715.549225,37.228.108.132,443,192.168.23.215,1033,,5cd6efb8d804faf03e1462073b729151,0
53722.491851,37.228.108.132,443,192.168.240.82,1033,,5cd6efb8d804faf03e1462073b729151,0
53715.53013099999,37.228.108.132,443,192.168.246.170,1034,,5cd6efb8d804faf03e1462073b729151,0
53717.05097999999,37.228.108.132,443,192.168.246.95,1033,,5cd6efb8d804faf03e1462073b729151,0
53715.072327,37.228.108.132,443,192.168.253.210,1034,,5cd6efb8d804faf03e1462073b729151,0
53714.612983000006,37.228.108.132,443,192.168.30.0,1034,,5cd6efb8d804faf03e1462073b729151,0
53722.423936,37.228.108.132,443,192.168.34.84,1033,,5cd6efb8d804faf03e1462073b729151,0
53707.416696,37.228.108.132,443,192.168.37.3,1034,,5cd6efb8d804faf03e1462073b729151,0
53712.175228,37.228.108.132,443,192.168.41.69,1033,,5cd6efb8d804faf03e1462073b729151,0
53715.175988,37.228.108.132,443,192.168.47.13,1033,,5cd6efb8d804faf03e1462073b729151,0
53715.78509600001,37.228.108.132,443,192.168.52.81,1034,,5cd6efb8d804faf03e1462073b729151,0
53717.095978,37.228.108.132,443,192.168.6.92,1034,,5cd6efb8d804faf03e1462073b729151,0
53715.555878,37.228.108.132,443,192.168.66.213,1034,,5cd6efb8d804faf03e1462073b729151,0
53708.277967999995,37.228.108.132,443,192.168.81.132,1033,,5cd6efb8d804faf03e1462073b729151,0
53721.130986000004,37.228.108.132,443,192.168.94.142,1033,,5cd6efb8d804faf03e1462073b729151,0
53716.857407,107.167.110.217,443,192.168.0.138,1035,,5cd6efb8d804faf03e1462073b729151,0
53723.461964999995,107.167.110.217,443,192.168.1.72,1035,,5cd6efb8d804faf03e1462073b729151,0
53713.968347,107.167.110.217,443,192.168.114.14,1035,,5cd6efb8d804faf03e1462073b729151,0
53724.48597,107.167.110.217,443,192.168.116.200,1035,,5cd6efb8d804faf03e1462073b729151,0
53710.132030999994,107.167.110.217,443,192.168.121.16,1035,,5cd6efb8d804faf03e1462073b729151,0
53713.66112999999,107.167.110.217,443,192.168.126.186,1035,,5cd6efb8d804faf03e1462073b729151,0
53734.694477,107.167.110.217,443,192.168.129.232,1035,,5cd6efb8d804faf03e1462073b729151,0
53716.730141,107.167.110.217,443,192.168.136.202,1035,,5cd6efb8d804faf03e1462073b729151,0
53733.994085000006,107.167.110.217,443,192.168.138.118,1035,,5cd6efb8d804faf03e1462073b729151,0
53723.801532000005,107.167.110.217,443,192.168.15.177,1035,,5cd6efb8d804faf03e1462073b729151,0
53727.372513999995,107.167.110.217,443,192.168.15.243,1035,,5cd6efb8d804faf03e1462073b729151,0
53724.495973000005,107.167.110.217,443,192.168.158.58,1035,,5cd6efb8d804faf03e1462073b729151,0
53724.584486,107.167.110.217,443,192.168.161.229,1035,,5cd6efb8d804faf03e1462073b729151,0
53719.782963,107.167.110.217,443,192.168.162.133,1035,,5cd6efb8d804faf03e1462073b729151,0
53728.442437,107.167.110.217,443,192.168.164.58,1035,,5cd6efb8d804faf03e1462073b729151,0
53723.405939,107.167.110.217,443,192.168.169.201,1035,,5cd6efb8d804faf03e1462073b729151,0
53715.417971,107.167.110.217,443,192.168.171.145,1035,,5cd6efb8d804faf03e1462073b729151,0
53734.1067,107.167.110.217,443,192.168.195.168,1035,,5cd6efb8d804faf03e1462073b729151,0
53724.657682000005,107.167.110.217,443,192.168.196.214,1035,,5cd6efb8d804faf03e1462073b729151,0
53722.567347000004,107.167.110.217,443,192.168.200.94,1035,,5cd6efb8d804faf03e1462073b729151,0
53725.360894000005,107.167.110.217,443,192.168.202.71,1035,,5cd6efb8d804faf03e1462073b729151,0
53724.392688,107.167.110.217,443,192.168.203.1,1035,,5cd6efb8d804faf03e1462073b729151,0
53718.643968,107.167.110.217,443,192.168.220.90,1035,,5cd6efb8d804faf03e1462073b729151,0
53714.559763,107.167.110.217,443,192.168.226.188,1035,,5cd6efb8d804faf03e1462073b729151,0
53728.321900999996,107.167.110.217,443,192.168.228.83,1035,,5cd6efb8d804faf03e1462073b729151,0
53722.198185,107.167.110.217,443,192.168.23.215,1035,,5cd6efb8d804faf03e1462073b729151,0
53722.406074,107.167.110.217,443,192.168.246.95,1035,,5cd6efb8d804faf03e1462073b729151,0
53710.456936,107.167.110.217,443,192.168.247.74,1035,,5cd6efb8d804faf03e1462073b729151,0
53725.825502,107.167.110.217,443,192.168.248.35,1035,,5cd6efb8d804faf03e1462073b729151,0
53722.280167,107.167.110.217,443,192.168.27.148,1035,,5cd6efb8d804faf03e1462073b729151,0
53720.639976,107.167.110.217,443,192.168.30.0,1035,,5cd6efb8d804faf03e1462073b729151,0
53728.010884,107.167.110.217,443,192.168.34.84,1035,,5cd6efb8d804faf03e1462073b729151,0
53711.42574199999,107.167.110.217,443,192.168.37.3,1035,,5cd6efb8d804faf03e1462073b729151,0
53721.751001,107.167.110.217,443,192.168.47.13,1035,,5cd6efb8d804faf03e1462073b729151,0
53719.966515,107.167.110.217,443,192.168.52.81,1035,,5cd6efb8d804faf03e1462073b729151,0
53731.177084,107.167.110.217,443,192.168.55.155,1035,,5cd6efb8d804faf03e1462073b729151,0
53715.62997,107.167.110.217,443,192.168.57.242,1035,,5cd6efb8d804faf03e1462073b729151,0
53722.247966999996,107.167.110.217,443,192.168.59.37,1035,,5cd6efb8d804faf03e1462073b729151,0
